# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.10782116,-1.12357571,4.21860488,16.60329871,11.50514560
300.00000000,0.10727534,-1.12537425,4.21680633,16.56122002,11.48166625
300.00000000,0.10673039,-1.12707202,4.21510857,16.51910152,11.45786511
300.00000000,0.10618792,-1.12866658,4.21351401,16.47706827,11.43365763
300.00000000,0.10564955,-1.13015611,4.21202448,16.43524565,11.40912230
300.00000000,0.10511697,-1.13153883,4.21064176,16.39376842,11.38435404
300.00000000,0.10459199,-1.13281357,4.20936702,16.35277961,11.35945671
300.00000000,0.10407647,-1.13397984,4.20820075,16.31242988,11.33477069
300.00000000,0.10357237,-1.13503783,4.20714276,16.27287681,11.31128405
300.00000000,0.10308167,-1.13598847,4.20619212,16.23428231,11.28861884
300.00000000,0.10260632,-1.13683356,4.20534703,16.19680816,11.26628766
300.00000000,0.10214822,-1.13757589,4.20460469,16.16061094,11.24442836
300.00000000,0.10170911,-1.13821928,4.20396130,16.12583839,11.22381982
300.00000000,0.10129061,-1.13876847,4.20341211,16.09262790,11.20399646
300.00000000,0.10089419,-1.13922899,4.20295159,16.06110590,11.18505049
300.00000000,0.10052114,-1.13960705,4.20257354,16.03138645,11.16714149
300.00000000,0.10017260,-1.13990940,4.20227119,16.00356874,11.15031835
300.00000000,0.09984944,-1.14014331,4.20203728,15.97773408,11.13468841
300.00000000,0.09955231,-1.14031643,4.20186415,15.95394307,11.12042290
300.00000000,0.09928156,-1.14043669,4.20174390,15.93223360,11.10751608
300.00000000,0.09903726,-1.14051214,4.20166845,15.91261972,11.09601270
300.00000000,0.09881919,-1.14055084,4.20162974,15.89509133,11.08795118
300.00000000,0.09862685,-1.14056074,4.20161985,15.87961451,11.08193989
300.00000000,0.09845945,-1.14054948,4.20163110,15.86613252,11.07715446
300.00000000,0.09831596,-1.14052438,4.20165620,15.85456724,11.07355639
300.00000000,0.09819513,-1.14049230,4.20168829,15.84482114,11.07108805
300.00000000,0.09809548,-1.14045958,4.20172100,15.83677950,11.06967465
