# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.11464383,-1.08386644,4.32824045,18.36057677,14.23484759
300.00000000,0.11267280,-1.09373535,4.31837154,18.20205948,14.13497569
300.00000000,0.11057297,-1.10395215,4.30815474,18.03164986,14.02034020
300.00000000,0.10829833,-1.11471675,4.29739015,17.84521813,13.88777609
300.00000000,0.10584578,-1.12603026,4.28607664,17.64199790,13.74013400
300.00000000,0.10323258,-1.13781430,4.27429259,17.42285711,13.57913629
300.00000000,0.10049031,-1.14994735,4.26215955,17.18988937,13.40735147
300.00000000,0.09766443,-1.16227294,4.24983396,16.94646758,13.22065533
300.00000000,0.09481100,-1.17461370,4.23749319,16.69707307,13.02498034
300.00000000,0.09199085,-1.18678691,4.22531998,16.44687134,12.83295303
300.00000000,0.08926276,-1.19861632,4.21349057,16.20116149,12.63611941
300.00000000,0.08667660,-1.20994687,4.20216002,15.96474235,12.44380406
300.00000000,0.08426788,-1.22066194,4.19144495,15.74135123,12.24989370
300.00000000,0.08205633,-1.23069234,4.18141455,15.53341822,12.05789648
300.00000000,0.08004789,-1.24001413,4.17209276,15.34213912,11.88605460
300.00000000,0.07823801,-1.24864020,4.16346669,15.16770541,11.71950385
300.00000000,0.07661475,-1.25661159,4.15549530,15.00953256,11.55625473
300.00000000,0.07516058,-1.26399209,4.14811480,14.86640756,11.41160668
300.00000000,0.07385346,-1.27086547,4.14124142,14.73656939,11.27346087
300.00000000,0.07266768,-1.27733276,4.13477413,14.61778695,11.14026630
300.00000000,0.07157534,-1.28350669,4.12860020,14.50750359,11.00953819
300.00000000,0.07074317,-1.28868012,4.12342677,14.42292133,10.91081498
300.00000000,0.07003066,-1.29342236,4.11868453,14.35010529,10.83008275
300.00000000,0.06930893,-1.29827883,4.11382806,14.27596853,10.75658668
300.00000000,0.06872307,-1.30261816,4.10948874,14.21550404,10.69832005
300.00000000,0.06829410,-1.30631261,4.10579429,14.17106796,10.65666983
300.00000000,0.06783521,-1.31017294,4.10193395,14.12337776,10.61233766
300.00000000,0.06746031,-1.31368243,4.09842447,14.08429666,10.57464392
300.00000000,0.06707081,-1.31727510,4.09483179,14.04357720,10.53565386
300.00000000,0.06665094,-1.32102350,4.09108339,13.99955136,10.49270778
300.00000000,0.06620461,-1.32491156,4.08719533,13.95259827,10.44581979
300.00000000,0.06573311,-1.32893538,4.08317151,13.90282548,10.39460901
300.00000000,0.06523649,-1.33309724,4.07900965,13.85020792,10.33864656
300.00000000,0.06471407,-1.33740339,4.07470351,13.79463879,10.27759678
300.00000000,0.06416459,-1.34186313,4.07024376,13.73594983,10.21239072
300.00000000,0.06358645,-1.34648816,4.06561873,13.67392726,10.14378641
300.00000000,0.06297782,-1.35129173,4.06081516,13.60832849,10.07331869
300.00000000,0.06233687,-1.35628764,4.05581926,13.53890292,9.99692072
300.00000000,0.06166203,-1.36148886,4.05061803,13.46541955,9.91446208
300.00000000,0.06106715,-1.36631261,4.04579428,13.40030875,9.83948492
300.00000000,0.06042960,-1.37138798,4.04071891,13.33017442,9.76011333
300.00000000,0.05973284,-1.37680897,4.03529792,13.25310314,9.67241964
300.00000000,0.05897930,-1.38257178,4.02953512,13.16924234,9.57621535
300.00000000,0.05817279,-1.38866421,4.02344269,13.07889103,9.47258378
300.00000000,0.05742889,-1.39446672,4.01764017,12.99499746,9.38381291
300.00000000,0.05667884,-1.40034583,4.01176106,12.90985768,9.29838320
300.00000000,0.05589562,-1.40645033,4.00565656,12.82034919,9.20764499
300.00000000,0.05508648,-1.41274401,3.99936289,12.72721809,9.11679926
300.00000000,0.05425823,-1.41919166,3.99291523,12.63117648,9.03204899
300.00000000,0.05359814,-1.42475372,3.98735318,12.55410798,8.96537866
300.00000000,0.05296163,-1.43022145,3.98188545,12.47934063,8.90155021
300.00000000,0.05230668,-1.43582755,3.97627934,12.40193809,8.83743266
300.00000000,0.05163902,-1.44154086,3.97056603,12.32253246,8.77296852
300.00000000,0.05095805,-1.44737986,3.96472703,12.24101426,8.71278172
300.00000000,0.05051126,-1.45190216,3.96020473,12.18723234,8.67536857
300.00000000,0.05008223,-1.45633353,3.95577337,12.13536473,8.63958219
300.00000000,0.04962500,-1.46094527,3.95116162,12.07984225,8.60249284
300.00000000,0.04914545,-1.46570417,3.94640272,12.02133285,8.56493298
300.00000000,0.04871050,-1.47021923,3.94188767,11.96801927,8.52999188
300.00000000,0.04820954,-1.47514157,3.93696532,11.90631777,8.49199462
300.00000000,0.04769296,-1.48017742,3.93192947,11.84235647,8.45169039
300.00000000,0.04719883,-1.48510100,3.92700590,11.78084991,8.41155148
300.00000000,0.04669169,-1.49012774,3.92197915,11.71738708,8.36885667
300.00000000,0.04622906,-1.49490734,3.91719955,11.65919351,8.32897611
300.00000000,0.04580945,-1.49943715,3.91266974,11.60615881,8.29008932
300.00000000,0.04549585,-1.50332888,3.90877802,11.56636443,8.26055233
300.00000000,0.04514409,-1.50746118,3.90464571,11.52156394,8.22593461
300.00000000,0.04475917,-1.51180835,3.90029854,11.47233969,8.18741175
300.00000000,0.04434598,-1.51634435,3.89576254,11.41926407,8.14487338
300.00000000,0.04396068,-1.52071449,3.89139241,11.36954732,8.10375236
300.00000000,0.04359222,-1.52498539,3.88712150,11.32180003,8.06747116
300.00000000,0.04320777,-1.52936732,3.88273957,11.27176427,8.02909556
300.00000000,0.04281090,-1.53383896,3.87826793,11.21987854,7.98894721
300.00000000,0.04240325,-1.53839130,3.87371560,11.16633311,7.94675176
300.00000000,0.04198757,-1.54300755,3.86909934,11.11146626,7.90265234
300.00000000,0.04156640,-1.54767185,3.86443504,11.05559624,7.85669868
300.00000000,0.04115100,-1.55231327,3.85979362,11.00021479,7.81115638
300.00000000,0.04085720,-1.55614658,3.85596031,10.96087712,7.77940550
300.00000000,0.04058732,-1.55981751,3.85228938,10.92461613,7.75039376
300.00000000,0.04027366,-1.56378906,3.84831783,10.88232147,7.71612135
300.00000000,0.03994606,-1.56785857,3.84424832,10.83797086,7.67998197
300.00000000,0.03963381,-1.57182592,3.84028098,10.79552798,7.64542270
300.00000000,0.03931788,-1.57581851,3.83628838,10.75241474,7.61059087
300.00000000,0.03905192,-1.57946310,3.83264379,10.71598648,7.58219085
300.00000000,0.03879425,-1.58304606,3.82906083,10.68057598,7.55518647
300.00000000,0.03848535,-1.58698585,3.82512104,10.63796842,7.52341194
300.00000000,0.03817860,-1.59091037,3.82119653,10.59548789,7.49180313
300.00000000,0.03788144,-1.59476704,3.81733986,10.55417388,7.46026293
300.00000000,0.03758289,-1.59863411,3.81347278,10.51250177,7.42769838
300.00000000,0.03726739,-1.60262513,3.80948176,10.46828334,7.39282511
300.00000000,0.03695440,-1.60660101,3.80550588,10.42423125,7.35758716
