# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.01567898,-1.33931912,4.10966578,7.04507794,5.11832257
300.00000000,0.01589860,-1.34346521,4.10551969,7.09424805,5.15226235
300.00000000,0.01612251,-1.34758511,4.10139979,7.14402832,5.18667053
300.00000000,0.01635038,-1.35167702,4.09730788,7.19433752,5.22147690
300.00000000,0.01658180,-1.35573923,4.09324567,7.24507324,5.25662437
300.00000000,0.01681633,-1.35977005,4.08921484,7.29612807,5.29201407
300.00000000,0.01705352,-1.36376768,4.08521722,7.34740432,5.32757707
300.00000000,0.01729293,-1.36773030,4.08125460,7.39879829,5.36324435
300.00000000,0.01753397,-1.37165628,4.07732862,7.45018375,5.39899934
300.00000000,0.01777595,-1.37554414,4.07344076,7.50141626,5.43469027
300.00000000,0.01801814,-1.37939248,4.06959242,7.55234580,5.47020104
300.00000000,0.01825978,-1.38319997,4.06578493,7.60281999,5.50542703
300.00000000,0.01850007,-1.38696541,4.06201948,7.65268065,5.54025880
300.00000000,0.01873815,-1.39068773,4.05829717,7.70176555,5.57458360
300.00000000,0.01897319,-1.39436588,4.05461901,7.74991808,5.60829217
300.00000000,0.01920440,-1.39799881,4.05098609,7.79699603,5.64132601
300.00000000,0.01943105,-1.40158541,4.04739949,7.84287023,5.67360053
300.00000000,0.01965242,-1.40512464,4.04386025,7.88741819,5.70503482
300.00000000,0.01986779,-1.40861556,4.04036933,7.93052057,5.73550301
300.00000000,0.02007647,-1.41205732,4.03692757,7.97206125,5.76491557
300.00000000,0.02027778,-1.41544919,4.03353571,8.01192887,5.79324267
300.00000000,0.02047104,-1.41879050,4.03019440,8.05001892,5.82035269
300.00000000,0.02065566,-1.42208067,4.02690422,8.08623585,5.84622785
300.00000000,0.02083105,-1.42531918,4.02366572,8.12049493,5.87076288
300.00000000,0.02099673,-1.42850552,4.02047938,8.15272330,5.89389703
300.00000000,0.02115225,-1.43163924,4.01734565,8.18286036,5.91558608
300.00000000,0.02129723,-1.43471994,4.01426496,8.21085729,5.93579393
300.00000000,0.02143138,-1.43774726,4.01123764,8.23667615,5.95449206
300.00000000,0.02155444,-1.44072092,4.00826397,8.26028879,5.97165868
300.00000000,0.02166619,-1.44364075,4.00534415,8.28167573,5.98727805
300.00000000,0.02176651,-1.44650667,4.00247823,8.30082516,6.00133978
300.00000000,0.02185526,-1.44931875,3.99966614,8.31773219,6.01383829
300.00000000,0.02193240,-1.45207721,3.99690769,8.33239817,6.02477239
300.00000000,0.02199790,-1.45478241,3.99420249,8.34483021,6.03414494
300.00000000,0.02205176,-1.45743491,3.99154999,8.35504080,6.04196262
300.00000000,0.02209405,-1.46003542,3.98894947,8.36304752,6.04823573
300.00000000,0.02212484,-1.46258488,3.98640002,8.36887291,6.05300503
300.00000000,0.02214426,-1.46508438,3.98390052,8.37254431,6.05629536
300.00000000,0.02215245,-1.46753523,3.98144966,8.37409381,6.05809245
300.00000000,0.02214962,-1.46993893,3.97904596,8.37355826,6.05842039
300.00000000,0.02213598,-1.47229717,3.97668773,8.37097920,6.05730668
300.00000000,0.02211178,-1.47461180,3.97437310,8.36640284,6.05478222
300.00000000,0.02207732,-1.47688487,3.97210003,8.35987995,6.05088119
300.00000000,0.02203290,-1.47911860,3.96986630,8.35146572,6.04564100
300.00000000,0.02197887,-1.48131536,3.96766953,8.34121952,6.03910211
300.00000000,0.02191560,-1.48347768,3.96550721,8.32920461,6.03130782
300.00000000,0.02184347,-1.48560822,3.96337668,8.31548775,6.02230401
300.00000000,0.02176291,-1.48770977,3.96127513,8.30013875,6.01213882
300.00000000,0.02167433,-1.48978523,3.95919966,8.28322999,6.00086235
300.00000000,0.02157817,-1.49183763,3.95714727,8.26483589,5.98852624
300.00000000,0.02147489,-1.49387006,3.95511484,8.24503234,5.97518330
300.00000000,0.02136493,-1.49588570,3.95309920,8.22389613,5.96088712
300.00000000,0.02124874,-1.49788780,3.95109710,8.20150443,5.94569171
300.00000000,0.02112679,-1.49987965,3.94910525,8.17793422,5.92965107
300.00000000,0.02099950,-1.50186457,3.94712032,8.15326180,5.91281890
300.00000000,0.02086733,-1.50384591,3.94513899,8.12756234,5.89524822
300.00000000,0.02073069,-1.50582700,3.94315790,8.10090940,5.87699108
300.00000000,0.02059000,-1.50781117,3.94117373,8.07337463,5.85809831
300.00000000,0.02044567,-1.50980171,3.93918318,8.04502736,5.83861925
300.00000000,0.02029806,-1.51180187,3.93718302,8.01593438,5.81860158
300.00000000,0.02014755,-1.51381483,3.93517006,7.98615966,5.79809107
300.00000000,0.01999448,-1.51584370,3.93314120,7.95576418,5.77713152
300.00000000,0.01983917,-1.51789149,3.93109341,7.92480571,5.75576454
300.00000000,0.01968193,-1.51996112,3.92902378,7.89333872,5.73402951
300.00000000,0.01952305,-1.52205538,3.92692951,7.86141427,5.71196343
300.00000000,0.01936278,-1.52417697,3.92480792,7.82907987,5.68960092
300.00000000,0.01920137,-1.52632845,3.92265645,7.79637946,5.66697409
300.00000000,0.01903903,-1.52851222,3.92047268,7.76335330,5.64411251
300.00000000,0.01887598,-1.53073058,3.91825432,7.73003796,5.62104316
300.00000000,0.01871238,-1.53298568,3.91599922,7.69646626,5.59779043
300.00000000,0.01854839,-1.53527953,3.91370536,7.66266721,5.57437602
300.00000000,0.01838414,-1.53761401,3.91137089,7.62866601,5.55081896
300.00000000,0.01821976,-1.53999085,3.90899405,7.59448403,5.52713557
300.00000000,0.01805534,-1.54241168,3.90657322,7.56013876,5.50333946
300.00000000,0.01789096,-1.54487798,3.90410692,7.52564384,5.47944151
300.00000000,0.01772666,-1.54739114,3.90159376,7.49100909,5.45544985
300.00000000,0.01756249,-1.54995243,3.89903247,7.45624046,5.43138876
300.00000000,0.01739846,-1.55256302,3.89642188,7.42134015,5.40748812
300.00000000,0.01723459,-1.55522401,3.89376089,7.38630665,5.38349753
300.00000000,0.01707084,-1.55793641,3.89104849,7.35113482,5.35941430
300.00000000,0.01690720,-1.56070117,3.88828373,7.31581601,5.33523323
300.00000000,0.01674362,-1.56351918,3.88546572,7.28033819,5.31100733
300.00000000,0.01658003,-1.56639129,3.88259361,7.24468617,5.28667922
300.00000000,0.01641637,-1.56931832,3.87966658,7.20884176,5.26222430
300.00000000,0.01625256,-1.57230105,3.87668384,7.17278401,5.23762848
300.00000000,0.01608850,-1.57534027,3.87364462,7.13648948,5.21288275
300.00000000,0.01592409,-1.57843675,3.87054814,7.09993256,5.18797278
300.00000000,0.01575924,-1.58159127,3.86739363,7.06308573,5.16286957
300.00000000,0.01559382,-1.58480461,3.86418029,7.02591997,5.13755300
300.00000000,0.01542774,-1.58807757,3.86090733,6.98840507,5.11200203
300.00000000,0.01526088,-1.59141098,3.85757392,6.95051004,5.08619496
300.00000000,0.01509313,-1.59480569,3.85417920,6.91220347,5.06011759
300.00000000,0.01492438,-1.59826259,3.85072230,6.87345397,5.03374135
300.00000000,0.01475453,-1.60178259,3.84720231,6.83423054,5.00704298
300.00000000,0.01458349,-1.60536663,3.84361826,6.79450297,4.98000079
300.00000000,0.01441118,-1.60901570,3.83996920,6.75424223,4.95263540
300.00000000,0.01423751,-1.61273080,3.83625410,6.71342086,4.92497394
300.00000000,0.01406242,-1.61651296,3.83247194,6.67201332,4.89690658
300.00000000,0.01388586,-1.62036326,3.82862164,6.62999631,4.86841581
300.00000000,0.01370779,-1.62428277,3.82470213,6.58734913,4.83948580
300.00000000,0.01352820,-1.62827259,3.82071231,6.54405391,4.81010251
300.00000000,0.01334706,-1.63233383,3.81665107,6.50009591,4.78025388
300.00000000,0.01316440,-1.63646760,3.81251730,6.45546367,4.74993000
300.00000000,0.01298023,-1.64067500,3.80830990,6.41014926,4.71912321
