# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.04149251,-1.40699698,4.00510991,11.04576661,7.77037180
300.00000000,0.04172417,-1.40936725,4.00273965,11.07655811,7.79217230
300.00000000,0.04195182,-1.41170844,4.00039845,11.10673461,7.81301164
300.00000000,0.04217422,-1.41402461,3.99808228,11.13613522,7.83280191
300.00000000,0.04238974,-1.41632144,3.99578546,11.16455330,7.85155402
300.00000000,0.04259639,-1.41860643,3.99350047,11.19173439,7.87047715
300.00000000,0.04279198,-1.42088832,3.99121857,11.21739907,7.88813053
300.00000000,0.04297458,-1.42317525,3.98893164,11.24130635,7.90442012
300.00000000,0.04314299,-1.42547290,3.98663399,11.26331152,7.91903296
300.00000000,0.04329679,-1.42778409,3.98432280,11.28337037,7.93261270
300.00000000,0.04343599,-1.43011008,3.98199681,11.30149315,7.94479753
300.00000000,0.04356058,-1.43245213,3.97965476,11.31768989,7.95557485
300.00000000,0.04367032,-1.43481264,3.97729425,11.33193772,7.96481614
300.00000000,0.04376466,-1.43719551,3.97491138,11.34417140,7.97247004
300.00000000,0.04384275,-1.43960614,3.97250076,11.35428666,7.97955293
300.00000000,0.04390348,-1.44205122,3.97005567,11.36214820,7.98585905
300.00000000,0.04394561,-1.44453853,3.96756836,11.36759878,7.99033794
300.00000000,0.04396780,-1.44707662,3.96503027,11.37046827,7.99286394
300.00000000,0.04396868,-1.44967454,3.96243235,11.37058198,7.99336461
300.00000000,0.04394692,-1.45234156,3.95976533,11.36776797,7.99150965
300.00000000,0.04390127,-1.45508696,3.95701993,11.36186270,7.98717619
300.00000000,0.04383061,-1.45791979,3.95418710,11.35271503,7.98021646
300.00000000,0.04373394,-1.46084877,3.95125812,11.34018830,7.97050759
300.00000000,0.04361040,-1.46388221,3.94822468,11.32416063,7.95793337
300.00000000,0.04345929,-1.46702794,3.94507895,11.30452387,7.94238326
300.00000000,0.04328000,-1.47029337,3.94181353,11.28118178,7.92375079
300.00000000,0.04307206,-1.47368545,3.93842144,11.25404853,7.90193223
300.00000000,0.04283509,-1.47721068,3.93489621,11.22304786,7.87682589
300.00000000,0.04256883,-1.48087500,3.93123189,11.18811347,7.84833655
300.00000000,0.04227316,-1.48468374,3.92742315,11.14919032,7.81692525
300.00000000,0.04194806,-1.48864144,3.92346545,11.10623686,7.78263431
300.00000000,0.04159371,-1.49275170,3.91935519,11.05922836,7.74572219
300.00000000,0.04121047,-1.49701698,3.91508992,11.00816123,7.70724183
300.00000000,0.04079894,-1.50143829,3.91066860,10.95305835,7.66581537
300.00000000,0.04035997,-1.50601500,3.90609190,10.89397526,7.62224236
300.00000000,0.03989475,-1.51074445,3.90136244,10.83100702,7.57639499
300.00000000,0.03940481,-1.51562176,3.89648514,10.76429534,7.52812098
300.00000000,0.03889209,-1.52063947,3.89146742,10.69403549,7.47847508
300.00000000,0.03835893,-1.52578741,3.88631948,10.62048244,7.42544146
300.00000000,0.03780813,-1.53105254,3.88105436,10.54395556,7.36914698
300.00000000,0.03724289,-1.53641894,3.87568795,10.46484134,7.31154460
300.00000000,0.03666683,-1.54186798,3.87023891,10.38359339,7.25320473
300.00000000,0.03608394,-1.54737855,3.86472834,10.30072945,7.19352138
300.00000000,0.03549849,-1.55292753,3.85917936,10.21682484,7.13346696
300.00000000,0.03491495,-1.55849038,3.85361652,10.13250238,7.07525173
300.00000000,0.03433788,-1.56404187,3.84806502,10.04841871,7.01661576
300.00000000,0.03377180,-1.56955691,3.84254998,9.96524817,6.95939813
300.00000000,0.03322111,-1.57501127,3.83709563,9.88366588,6.90192512
300.00000000,0.03268993,-1.58038231,3.83172458,9.80433171,6.84455807
300.00000000,0.03218208,-1.58564953,3.82645736,9.72787589,6.78738892
300.00000000,0.03170095,-1.59079495,3.82131195,9.65488566,6.73409245
300.00000000,0.03124950,-1.59580338,3.81630352,9.58589206,6.68396819
300.00000000,0.03083015,-1.60066260,3.81144429,9.52135598,6.63666037
300.00000000,0.03044473,-1.60536347,3.80674343,9.46165305,6.59170398
300.00000000,0.03009440,-1.60989993,3.80220696,9.40705880,6.54969461
300.00000000,0.02977965,-1.61426901,3.79783788,9.35773640,6.51094678
300.00000000,0.02950022,-1.61847063,3.79363627,9.31372975,6.47668057
300.00000000,0.02925516,-1.62250744,3.78959945,9.27496317,6.44639752
300.00000000,0.02904285,-1.62638457,3.78572232,9.24124736,6.42008654
300.00000000,0.02886112,-1.63010935,3.78199754,9.21229007,6.39709286
300.00000000,0.02870731,-1.63369109,3.77841580,9.18770975,6.37736718
300.00000000,0.02857836,-1.63714092,3.77496598,9.16705048,6.36070128
300.00000000,0.02847088,-1.64047154,3.77163535,9.14979714,6.34715355
300.00000000,0.02838129,-1.64369716,3.76840974,9.13538984,6.33574056
300.00000000,0.02830584,-1.64683329,3.76527360,9.12323742,6.32596483
300.00000000,0.02824067,-1.64989664,3.76221025,9.11272994,6.31738026
300.00000000,0.02818195,-1.65290487,3.75920202,9.10325085,6.30965898
300.00000000,0.02812587,-1.65587636,3.75623053,9.09418928,6.30241945
300.00000000,0.02806877,-1.65882983,3.75327706,9.08495328,6.29565199
300.00000000,0.02800721,-1.66178382,3.75032308,9.07498434,6.28832177
300.00000000,0.02793805,-1.66475610,3.74735079,9.06377308,6.28039941
300.00000000,0.02785859,-1.66776302,3.74434388,9.05087504,6.27104557
300.00000000,0.02776664,-1.67081871,3.74128818,9.03592518,6.26016542
300.00000000,0.02766057,-1.67393457,3.73817232,9.01864957,6.24760240
300.00000000,0.02753939,-1.67711868,3.73498821,8.99887314,6.23307998
300.00000000,0.02740276,-1.68037554,3.73173135,8.97652260,6.21672673
300.00000000,0.02725096,-1.68370596,3.72840093,8.95162460,6.19877550
300.00000000,0.02708484,-1.68710718,3.72499971,8.92429927,6.17935796
300.00000000,0.02690578,-1.69057317,3.72153372,8.89475017,6.15820048
