# samples,smse,msll,nlpd,rmse,mae
300.00000000,0.01067411,-1.35351311,3.98866747,5.22406127,3.33746725
300.00000000,0.01080944,-1.35805281,3.98412778,5.25707176,3.35972387
300.00000000,0.01094789,-1.36258156,3.97959902,5.29063342,3.38233488
300.00000000,0.01108963,-1.36709875,3.97508184,5.32477075,3.40541572
300.00000000,0.01123467,-1.37160342,3.97057716,5.35947736,3.42893958
300.00000000,0.01138300,-1.37609461,3.96608597,5.39474356,3.45281641
300.00000000,0.01153468,-1.38057139,3.96160920,5.43056568,3.47704385
300.00000000,0.01168970,-1.38503277,3.95714782,5.46693670,3.50171065
300.00000000,0.01184806,-1.38947766,3.95270293,5.50384272,3.52671224
300.00000000,0.01200973,-1.39390488,3.94827570,5.54126528,3.55205805
300.00000000,0.01217465,-1.39831320,3.94386738,5.57918320,3.57776167
300.00000000,0.01234277,-1.40270134,3.93947924,5.61757303,3.60378651
300.00000000,0.01251402,-1.40706804,3.93511254,5.65640918,3.63011590
300.00000000,0.01268831,-1.41141205,3.93076854,5.69566378,3.65673855
300.00000000,0.01286555,-1.41573215,3.92644844,5.73530613,3.68371400
300.00000000,0.01304562,-1.42002715,3.92215343,5.77530211,3.71100600
300.00000000,0.01322838,-1.42429591,3.91788468,5.81561480,3.73857645
300.00000000,0.01341369,-1.42853728,3.91364331,5.85620718,3.76638555
300.00000000,0.01360142,-1.43275007,3.90943051,5.89704573,3.79442771
300.00000000,0.01379147,-1.43693308,3.90524750,5.93810146,3.82266602
300.00000000,0.01398373,-1.44108503,3.90109556,5.97934818,3.85109208
300.00000000,0.01417810,-1.44520463,3.89697595,6.02076046,3.87975790
300.00000000,0.01437447,-1.44929058,3.89289000,6.06231254,3.90859261
300.00000000,0.01457274,-1.45334157,3.88883902,6.10397791,3.93758265
300.00000000,0.01477278,-1.45735627,3.88482432,6.14572937,3.96672056
300.00000000,0.01497446,-1.46133335,3.88084724,6.18753933,3.99597390
300.00000000,0.01517766,-1.46527147,3.87690911,6.22938011,4.02532714
300.00000000,0.01538225,-1.46916929,3.87301130,6.27122409,4.05476437
300.00000000,0.01558809,-1.47302543,3.86915515,6.31304374,4.08428702
300.00000000,0.01579504,-1.47683854,3.86534205,6.35481147,4.11387008
300.00000000,0.01600295,-1.48060724,3.86157334,6.39649938,4.14348670
300.00000000,0.01621167,-1.48433019,3.85785040,6.43807894,4.17311858
300.00000000,0.01642105,-1.48800604,3.85417455,6.47952060,4.20274633
300.00000000,0.01663091,-1.49163348,3.85054711,6.52079337,4.23234914
300.00000000,0.01684107,-1.49521124,3.84696935,6.56186443,4.26190465
300.00000000,0.01705133,-1.49873810,3.84344248,6.60269879,4.29138867
300.00000000,0.01726146,-1.50221292,3.83996767,6.64325904,4.32077508
300.00000000,0.01747124,-1.50563461,3.83654597,6.68350514,4.35003574
300.00000000,0.01768041,-1.50900219,3.83317839,6.72339442,4.37914046
300.00000000,0.01788870,-1.51231476,3.82986582,6.76288164,4.40806014
300.00000000,0.01809582,-1.51557154,3.82660904,6.80191913,4.43676412
300.00000000,0.01830145,-1.51877185,3.82340874,6.84045701,4.46522759
300.00000000,0.01850528,-1.52191512,3.82026546,6.87844334,4.49341275
300.00000000,0.01870696,-1.52500094,3.81717964,6.91582426,4.52128370
300.00000000,0.01890613,-1.52802901,3.81415157,6.95254405,4.54887539
300.00000000,0.01910244,-1.53099920,3.81118139,6.98854509,4.57604861
300.00000000,0.01929548,-1.53391151,3.80826907,7.02376789,4.60275870
300.00000000,0.01948485,-1.53676616,3.80541442,7.05815105,4.62900343
300.00000000,0.01967014,-1.53956353,3.80261706,7.09163137,4.65472206
300.00000000,0.01985092,-1.54230419,3.79987640,7.12414390,4.67983540
300.00000000,0.02002673,-1.54498892,3.79719166,7.15562225,4.70429291
300.00000000,0.02019712,-1.54761872,3.79456187,7.18599887,4.72804305
300.00000000,0.02036164,-1.55019478,3.79198581,7.21520554,4.75103370
300.00000000,0.02051980,-1.55271850,3.78946208,7.24317393,4.77321251
300.00000000,0.02067114,-1.55519149,3.78698910,7.26983622,4.79452739
300.00000000,0.02081521,-1.55761554,3.78456505,7.29512591,4.81492706
300.00000000,0.02095155,-1.55999262,3.78218797,7.31897851,4.83436158
300.00000000,0.02107973,-1.56232486,3.77985572,7.34133239,4.85278296
300.00000000,0.02119933,-1.56461455,3.77756604,7.36212955,4.87014568
300.00000000,0.02130997,-1.56686409,3.77531650,7.38131633,4.88640725
300.00000000,0.02141130,-1.56907599,3.77310460,7.39884417,4.90152875
300.00000000,0.02150299,-1.57125284,3.77092775,7.41467017,4.91547525
300.00000000,0.02158478,-1.57339730,3.76878329,7.42875774,4.92821625
300.00000000,0.02165643,-1.57551206,3.76666852,7.44107705,4.93972610
300.00000000,0.02171776,-1.57759983,3.76458076,7.45160556,4.94998431
300.00000000,0.02176863,-1.57966331,3.76251728,7.46032844,4.95897589
300.00000000,0.02180898,-1.58170515,3.76047543,7.46723887,4.96669159
300.00000000,0.02183878,-1.58372798,3.75845260,7.47233837,4.97313568
300.00000000,0.02185806,-1.58573433,3.75644626,7.47563697,4.97830477
300.00000000,0.02186693,-1.58772664,3.75445395,7.47715328,4.98220609
300.00000000,0.02186553,-1.58970724,3.75247334,7.47691443,4.98485470
300.00000000,0.02185408,-1.59167836,3.75050222,7.47495596,4.98627178
300.00000000,0.02183283,-1.59364209,3.74853849,7.47132147,4.98648435
300.00000000,0.02180211,-1.59560041,3.74658018,7.46606229,4.98552513
300.00000000,0.02176226,-1.59755514,3.74462545,7.45923701,4.98343217
300.00000000,0.02171371,-1.59950799,3.74267260,7.45091090,4.98024850
300.00000000,0.02165688,-1.60146054,3.74072005,7.44115529,4.97602176
300.00000000,0.02159227,-1.60341425,3.73876633,7.43004690,4.97080369
300.00000000,0.02152038,-1.60537047,3.73681011,7.41766710,4.96464970
300.00000000,0.02144174,-1.60733043,3.73485015,7.40410119,4.95761833
300.00000000,0.02135689,-1.60929527,3.73288531,7.38943754,4.94977070
300.00000000,0.02126640,-1.61126603,3.73091456,7.37376691,4.94128670
300.00000000,0.02117085,-1.61324367,3.72893692,7.35718157,4.93232776
300.00000000,0.02107078,-1.61522906,3.72695152,7.33977455,4.92274793
300.00000000,0.02096679,-1.61722304,3.72495755,7.32163886,4.91261221
300.00000000,0.02085941,-1.61922633,3.72295425,7.30286678,4.90201621
300.00000000,0.02074920,-1.62123964,3.72094094,7.28354906,4.89131704
300.00000000,0.02063668,-1.62326361,3.71891698,7.26377430,4.88043304
300.00000000,0.02052237,-1.62529881,3.71688177,7.24362829,4.86927960
300.00000000,0.02040674,-1.62734582,3.71483477,7.22319339,4.85788552
300.00000000,0.02029026,-1.62940511,3.71277547,7.20254803,4.84637730
300.00000000,0.02017334,-1.63147717,3.71070341,7.18176616,4.83475590
300.00000000,0.02005638,-1.63356242,3.70861817,7.16091691,4.82305114
300.00000000,0.01993974,-1.63566124,3.70651935,7.14006420,4.81130879
300.00000000,0.01982375,-1.63777399,3.70440660,7.11926645,4.79957083
300.00000000,0.01970869,-1.63990098,3.70227961,7.09857641,4.78787521
300.00000000,0.01959483,-1.64204249,3.70013809,7.07804099,4.77628927
300.00000000,0.01948237,-1.64419876,3.69798182,7.05770123,4.76488309
300.00000000,0.01937151,-1.64637000,3.69581059,7.03759223,4.75362829
300.00000000,0.01926239,-1.64855637,3.69362422,7.01774326,4.74293307
300.00000000,0.01915513,-1.65075799,3.69142259,6.99817782,4.73244995
300.00000000,0.01904982,-1.65297498,3.68920561,6.97891381,4.72214776
300.00000000,0.01894651,-1.65520738,3.68697321,6.95996370,4.71203489
300.00000000,0.01884522,-1.65745523,3.68472536,6.94133478,4.70211582
300.00000000,0.01874596,-1.65971852,3.68246207,6.92302938,4.69239133
300.00000000,0.01864869,-1.66199722,3.68018336,6.90504520,4.68285867
300.00000000,0.01855337,-1.66429129,3.67788930,6.88737558,4.67351180
300.00000000,0.01845993,-1.66660063,3.67557996,6.87000988,4.66434157
300.00000000,0.01836827,-1.66892515,3.67325543,6.85293381,4.65533816
300.00000000,0.01827830,-1.67126474,3.67091585,6.83612984,4.64649964
300.00000000,0.01818990,-1.67361926,3.66856133,6.81957758,4.63779502
300.00000000,0.01810292,-1.67598856,3.66619203,6.80325419,4.62920563
300.00000000,0.01801724,-1.67837249,3.66380810,6.78713485,4.62071120
300.00000000,0.01793270,-1.68077087,3.66140971,6.77119314,4.61229017
300.00000000,0.01784915,-1.68318354,3.65899704,6.75540154,4.60392005
300.00000000,0.01776644,-1.68561031,3.65657027,6.73973182,4.59557778
300.00000000,0.01768442,-1.68805098,3.65412960,6.72415555,4.58725192
300.00000000,0.01760292,-1.69050535,3.65167523,6.70864443,4.57895310
300.00000000,0.01752181,-1.69297321,3.64920738,6.69317081,4.57061327
300.00000000,0.01744095,-1.69545432,3.64672627,6.67770802,4.56221032
300.00000000,0.01736019,-1.69794845,3.64423213,6.66223072,4.55372315
